age,education-num,marital-status,gender,capital-gain,hours-per-week,income
27,9,1,1,0,40,0
28,9,0,1,0,40,0
51,10,0,1,0,40,1
27,13,1,1,0,50,0
28,13,0,1,0,40,1
27,9,0,0,0,25,0
21,9,1,1,0,40,0
34,9,1,1,0,40,0
18,9,1,1,0,12,0
33,13,0,1,0,65,0
44,10,0,1,0,38,1
43,10,1,0,0,40,0
30,10,1,1,0,45,0
40,4,0,1,0,40,1
37,10,0,1,0,42,1
34,9,0,1,0,40,0
41,13,1,0,0,40,0
53,13,1,0,0,50,0
31,14,0,0,0,50,0
58,16,0,1,0,1,1
38,10,1,0,0,28,0
24,10,0,1,0,40,0
41,13,0,1,0,40,0
47,10,0,1,0,45,0
41,13,0,1,0,24,0
23,3,0,1,0,40,0
36,10,1,1,0,40,0
40,14,1,0,14084,55,1
35,14,0,1,7298,40,1
24,9,1,1,0,40,0
26,14,1,0,0,40,0
19,9,1,1,0,40,0
51,13,0,1,0,50,1
42,10,1,0,0,40,0
37,9,1,0,0,35,0
18,7,1,0,0,40,0
36,13,0,1,7298,36,1
35,9,1,1,0,60,0
58,9,0,0,15024,35,1
17,7,1,0,0,12,0
44,9,0,1,0,40,0
37,9,0,1,0,40,1
35,10,1,0,0,40,0
60,9,0,1,0,40,0
54,4,0,1,0,40,1
37,13,1,1,0,60,1
50,12,1,0,0,40,0
38,13,0,1,0,50,0
45,13,0,1,0,55,0
25,6,1,1,0,40,0
31,10,0,1,0,40,0
64,2,1,1,0,40,0
90,9,1,1,0,40,0
54,9,0,1,0,20,0
53,1,1,0,0,35,0
18,9,1,0,0,40,0
60,6,1,0,0,10,0
66,9,0,1,1409,50,0
75,11,1,0,0,20,0
65,9,1,0,0,40,0
35,7,1,1,3674,40,0
41,9,1,0,0,38,0
25,10,1,1,0,42,0
33,10,1,0,0,40,0
28,15,1,1,0,55,1
59,9,0,1,0,40,0
40,10,1,0,0,38,0
41,13,0,1,0,50,1
38,14,0,1,0,70,1
23,9,1,1,0,40,0
40,13,0,1,0,40,1
41,9,0,0,0,20,0
24,12,0,1,0,50,0
20,10,1,1,0,20,0
38,10,1,1,0,40,0
56,9,0,1,0,35,0
58,9,0,1,0,45,1
32,9,1,0,0,34,0
40,12,0,1,0,60,1
45,9,0,1,0,40,0
41,15,0,0,0,40,1
42,13,0,0,0,40,0
59,6,1,0,0,30,0
19,10,1,1,0,40,0
58,10,1,1,0,20,0
42,9,0,1,0,40,1
20,9,1,0,0,40,0
32,9,1,0,0,30,0
45,11,1,0,0,45,0
50,4,1,1,0,40,0
36,13,1,0,0,40,0
45,9,0,1,0,60,0
17,7,1,1,0,12,0
59,10,0,1,4064,40,0
26,7,0,1,0,40,0
37,10,0,1,0,75,1
19,10,1,1,0,24,0
64,9,0,1,0,40,1
33,13,1,0,0,45,0
33,9,0,0,0,40,1
61,9,0,1,0,40,1
17,5,1,1,1055,24,0
50,14,0,1,2407,98,0
27,14,1,1,0,35,0
30,9,1,0,0,40,0
43,9,0,1,0,40,0
44,10,0,1,7298,40,1
35,10,1,0,0,40,0
25,10,1,0,0,40,0
24,10,0,0,7298,48,1
22,13,1,0,0,15,0
42,10,0,1,5178,40,1
34,12,1,0,0,45,0
60,13,1,0,0,42,0
21,9,1,1,0,40,0
57,14,0,1,15024,40,1
41,15,0,1,0,60,1
50,10,1,1,0,45,0
25,13,1,0,0,40,0
50,4,0,1,0,40,0
36,13,0,1,0,45,0
31,9,1,0,0,40,0
29,13,1,1,0,56,0
21,10,1,1,0,45,0
27,13,1,0,0,40,0
65,9,0,1,0,16,0
37,13,1,0,0,60,0
39,14,0,0,3464,40,0
24,9,1,1,0,40,0
38,9,1,1,0,80,0
48,13,0,1,7688,40,1
21,10,1,0,0,25,0
31,9,0,1,0,45,1
55,9,0,1,4386,40,1
24,10,0,0,0,40,0
43,9,1,0,0,40,0
26,12,1,1,0,45,0
46,12,1,0,0,33,0
35,12,0,1,0,40,1
41,10,0,1,0,54,1
26,13,1,1,0,40,0
34,14,0,1,7298,35,1
19,10,1,0,0,25,0
36,13,1,0,0,40,1
22,10,1,1,0,15,0
24,10,1,1,0,40,0
77,10,0,1,0,40,0
22,3,0,0,0,40,0
29,10,1,0,0,40,0
62,9,1,0,0,24,0
39,9,0,1,0,40,0
43,10,0,1,0,50,0
35,9,1,1,0,45,0
29,7,1,0,0,40,0
76,14,0,1,0,10,0
63,9,0,1,0,45,0
23,11,1,0,0,15,0
43,10,0,0,0,50,1
58,9,0,1,0,40,0
66,9,1,1,2050,55,0
41,10,1,1,0,45,0
26,13,1,1,0,40,0
47,11,1,1,0,40,0
55,6,0,1,0,40,0
53,9,0,1,0,40,0
17,3,1,1,0,48,0
30,9,1,1,0,40,0
49,14,1,1,0,60,0
19,9,1,1,0,30,0
45,9,0,1,0,40,0
26,12,1,1,0,40,0
38,11,0,1,7298,40,1
36,9,0,1,7298,40,1
33,9,1,1,0,20,0
22,10,1,0,0,40,0
43,13,1,1,0,42,0
67,7,0,1,0,8,0
30,11,1,0,0,40,0
56,12,0,1,0,25,0
31,13,1,1,0,25,0
33,13,0,1,0,40,1
26,9,0,1,0,40,0
33,13,0,1,0,40,1
46,7,0,1,0,30,0
59,13,0,1,0,40,1
38,9,0,1,0,40,1
65,7,1,1,0,40,0
40,11,0,1,0,40,1
42,9,0,0,0,35,0
26,5,0,1,0,40,0
36,6,0,0,0,24,0
62,14,0,1,0,40,1
43,13,0,1,0,45,0
43,13,1,1,0,45,1
22,9,0,1,0,55,0
28,9,0,1,0,40,0
56,10,0,1,0,45,0
22,12,1,0,0,15,0
57,13,1,0,0,45,1
39,9,1,0,0,40,0
26,10,1,0,0,15,0
17,7,1,1,0,10,0
40,11,0,1,0,38,1
45,9,0,1,0,40,0
44,9,1,1,0,40,0
20,10,1,0,0,10,0
33,9,0,0,0,40,0
23,10,1,1,0,40,0
46,14,1,1,0,30,0
38,9,0,1,0,50,0
54,9,1,1,0,40,0
46,3,1,0,0,45,0
25,10,0,1,0,40,0
46,10,1,0,0,40,0
36,10,0,0,0,40,0
23,9,1,0,0,25,0
29,9,1,1,0,40,0
44,10,0,0,0,6,1
19,10,1,0,0,16,0
19,9,1,0,0,40,0
35,9,0,0,0,40,1
27,13,1,1,0,50,0
46,12,1,1,0,40,0
34,13,0,1,7688,45,1
34,9,1,0,0,35,0
44,10,0,1,0,40,0
45,10,1,0,0,40,0
20,9,1,0,0,35,0
25,13,0,1,0,55,1
52,13,0,1,0,50,1
20,10,1,1,0,40,0
28,10,1,0,0,40,0
50,13,0,1,0,40,1
34,11,1,0,0,64,0
28,4,0,1,0,40,0
41,14,0,1,0,65,1
28,9,0,1,0,40,0
46,9,0,1,0,25,0
28,10,0,0,0,40,1
32,10,0,1,0,50,0
41,10,1,0,0,24,0
24,9,1,0,0,40,0
33,10,1,0,0,40,0
46,16,0,1,15024,60,1
31,10,0,1,0,40,0
35,8,1,1,0,50,1
52,2,0,1,0,40,0
30,7,1,0,0,19,0
34,7,1,1,0,40,0
34,9,1,0,0,40,0
20,10,0,1,0,30,0
17,7,1,1,2176,18,0
32,13,0,0,0,40,1
29,9,1,1,0,40,0
33,6,1,0,0,35,0
25,9,0,1,0,60,0
36,14,1,1,0,40,0
23,9,1,1,0,72,0
63,9,0,1,0,40,1
47,14,0,1,0,40,0
80,9,1,1,0,24,0
17,7,1,1,0,40,0
40,13,0,0,2174,40,0
30,12,0,0,0,25,1
27,10,1,1,0,40,0
33,14,0,1,0,50,1
34,9,1,1,594,60,0
34,10,1,0,0,40,0
23,10,0,1,0,40,0
42,10,0,0,0,40,0
29,13,1,1,0,40,0
45,9,1,0,0,28,0
24,9,1,1,0,40,0
44,10,0,1,0,40,1
27,5,1,1,0,40,0
20,10,1,1,0,35,0
44,9,1,0,0,40,0
51,9,0,1,0,40,0
20,9,0,1,0,40,0
17,7,1,0,0,5,0
19,9,1,0,0,40,0
45,10,0,1,0,55,1
60,9,0,1,0,40,1
42,12,0,1,0,40,1
44,9,0,0,0,40,1
40,11,0,1,0,40,1
30,9,0,0,0,40,0
38,10,0,1,0,50,0
23,9,0,1,0,60,0
32,10,0,1,0,40,0
44,12,1,1,0,40,0
54,9,0,1,0,40,0
32,13,0,1,0,50,0
50,2,0,1,0,40,0
24,13,1,0,0,20,0
37,9,0,0,0,60,0
52,9,1,1,0,40,0
38,10,0,1,0,40,0
49,14,0,1,0,45,1
30,13,0,0,0,16,1
60,10,1,1,0,40,1
22,10,1,1,0,40,0
35,9,1,1,0,40,0
30,9,1,1,0,60,0
67,11,1,0,0,24,0
46,13,1,0,0,40,0
17,5,1,1,0,6,0
22,10,1,1,0,30,0
27,6,1,1,0,40,0
23,9,1,0,0,35,0
33,12,0,1,0,45,0
43,10,0,1,0,20,0
28,13,1,1,0,20,0
41,9,0,0,0,40,0
52,8,1,1,594,40,0
25,10,0,0,0,20,0
63,2,0,1,0,35,0
59,9,0,1,0,45,0
45,13,1,0,0,40,0
38,13,0,1,15024,60,1
40,9,1,0,0,35,0
46,9,1,1,0,40,0
35,12,1,0,0,60,0
34,9,1,0,0,25,0
33,13,1,1,0,20,0
41,9,1,0,0,36,0
20,10,1,1,0,40,0
23,3,1,1,0,40,0
26,10,1,0,0,35,0
72,9,0,1,0,20,0
23,9,1,1,0,40,0
62,9,0,1,0,40,0
52,10,0,1,0,40,0
58,10,1,0,0,42,0
25,13,1,0,0,40,0
24,13,1,1,0,40,0
19,10,1,1,0,8,0
43,10,0,1,0,40,0
47,9,1,0,0,40,0
39,9,1,0,0,40,0
49,11,0,1,0,42,0
53,3,1,0,0,30,0
32,11,1,1,0,45,0
34,10,0,1,0,50,1
28,9,1,1,0,45,0
57,11,1,0,0,38,0
25,10,1,0,0,20,0
20,10,1,1,0,24,0
21,10,1,0,0,35,0
34,13,0,1,0,50,1
38,13,0,1,15024,80,1
50,9,0,1,7688,50,1
24,10,1,1,0,50,0
37,10,0,1,0,45,1
44,10,1,1,0,58,1
28,10,0,0,0,40,0
42,13,0,1,0,40,1
74,10,1,0,0,9,0
38,9,0,1,0,50,0
44,14,0,1,0,40,0
44,7,1,0,0,46,0
26,9,1,1,0,40,0
36,9,0,1,0,40,0
41,12,0,0,0,50,1
67,15,0,1,20051,48,1
39,8,0,1,0,50,0
57,2,1,0,0,30,0
29,11,1,1,0,40,0
31,13,1,0,0,45,0
34,9,1,0,0,40,0
44,10,0,1,0,40,0
29,16,1,1,0,40,0
30,10,1,0,0,40,0
27,9,1,1,0,40,0
27,10,0,1,0,50,0
32,9,1,0,0,45,0
58,6,0,0,0,8,0
35,10,0,1,0,40,0
21,9,1,1,0,36,0
28,10,1,1,0,40,0
46,10,1,1,0,50,0
36,9,1,0,0,40,0
72,7,1,0,0,40,0
35,9,0,0,0,40,0
33,11,1,0,0,40,1
69,7,1,0,0,40,0
35,9,0,1,0,40,0
31,9,1,0,0,20,0
34,9,0,0,0,32,0
30,7,0,1,0,40,0
28,13,1,1,0,55,0
54,13,0,1,0,35,1
47,10,0,1,0,50,1
24,9,1,0,0,40,0
52,13,0,1,0,60,1
20,9,1,1,0,48,0
43,14,0,1,5013,45,0
45,4,1,0,0,40,0
29,9,1,1,0,35,0
47,14,1,1,0,42,0
24,9,1,1,0,40,0
51,9,0,1,0,40,0
17,7,1,1,0,12,0
37,11,0,1,0,40,1
27,16,1,0,0,70,0
29,13,0,1,0,40,1
18,8,1,1,0,25,0
36,12,1,0,0,35,0
58,13,1,0,0,40,0
26,10,0,1,0,45,0
65,10,0,1,0,30,1
57,9,0,1,0,40,1
59,9,0,1,0,40,0
27,9,0,1,0,40,0
31,13,1,1,0,40,0
21,10,1,0,0,24,0
29,10,1,1,0,60,0
18,7,1,1,0,40,0
52,6,0,1,0,47,1
57,13,1,1,0,80,0
42,9,0,1,0,40,0
55,9,0,0,0,40,0
60,4,1,1,0,48,1
31,13,0,1,7688,40,1
23,13,1,0,0,40,0
27,9,1,1,0,40,0
23,10,1,0,0,25,0
42,15,0,1,0,50,1
25,10,1,1,2174,40,0
49,13,1,0,0,45,0
32,13,1,1,0,40,0
19,10,1,1,0,28,0
60,4,1,0,0,40,0
42,5,0,1,0,40,0
35,12,1,1,0,40,0
48,9,1,0,0,37,0
51,14,0,1,0,40,1
29,9,1,1,0,40,0
36,9,1,1,0,40,0
17,6,1,0,0,21,0
52,14,1,0,6849,60,0
24,9,1,1,0,40,0
24,9,0,1,0,50,0
26,13,1,1,1055,40,0
27,13,1,0,0,20,0
39,9,1,1,0,60,0
30,9,0,1,0,45,0
50,9,0,1,0,32,0
52,13,0,1,0,55,0
46,15,0,1,15024,45,1
23,13,1,0,0,20,0
45,7,1,0,0,20,0
65,5,1,0,0,24,0
29,11,0,1,0,55,0
47,5,0,1,0,40,0
30,9,1,1,0,60,0
34,9,0,1,0,45,1
38,9,0,1,0,64,0
33,10,0,1,0,40,1
49,13,0,1,0,26,1
47,10,1,0,0,40,0
49,6,1,0,0,40,0
43,10,0,1,15024,60,1
30,13,0,0,0,40,1
58,9,0,1,0,60,0
19,9,1,0,0,14,0
21,13,1,1,0,40,0
33,13,0,1,15024,60,1
47,3,0,1,0,50,0
52,16,0,1,0,60,1
26,9,1,1,0,55,0
60,9,0,1,0,40,0
21,10,1,1,0,40,0
36,10,0,1,5178,50,1
31,10,0,1,0,45,0
50,16,1,1,0,40,1
31,9,1,0,0,40,0
71,9,0,1,0,15,0
58,9,0,1,0,50,0
30,13,0,1,0,40,1
20,10,1,1,0,20,0
24,9,1,1,4101,50,0
35,16,0,1,0,40,1
38,10,1,0,0,45,0
27,9,1,0,0,32,0
29,10,1,0,0,40,0
70,5,1,0,1111,15,0
34,9,0,1,0,45,0
44,4,0,1,0,35,0
43,9,0,1,0,40,1
44,8,0,1,0,40,1
35,14,1,1,0,60,0
27,10,1,1,0,40,0
43,14,1,1,0,38,0
20,10,1,0,0,25,0
42,12,1,0,8614,40,1
27,10,0,1,3411,40,0
42,9,0,1,0,40,1
20,7,0,0,0,40,0
24,5,1,1,0,40,0
48,10,1,1,0,40,0
17,7,1,0,0,20,0
17,7,1,1,0,10,0
33,13,0,1,0,40,1
50,9,0,1,0,50,1
22,9,1,0,2597,40,0
17,8,1,1,0,16,0
32,10,0,1,0,40,0
31,9,1,1,0,45,0
58,9,1,1,0,50,0
29,9,1,1,0,48,0
37,11,0,1,0,40,1
34,9,0,1,0,40,1
23,10,1,1,0,40,0
18,7,1,0,0,5,0
34,9,1,0,0,40,0
66,4,1,1,0,4,0
45,13,0,0,0,55,0
41,14,1,1,0,35,0
26,9,1,1,0,30,0
54,10,0,1,0,40,0
24,10,1,0,0,45,0
42,10,0,1,0,50,0
20,10,1,1,0,20,0
23,13,1,0,0,20,0
25,12,1,1,0,45,0
35,14,1,1,0,60,1
31,14,0,1,0,40,1
30,13,1,0,0,40,0
19,9,1,0,0,20,0
36,13,1,1,0,50,0
31,13,1,0,0,40,0
21,10,1,1,0,30,0
31,10,0,1,0,40,0
46,16,1,0,25236,65,1
44,13,1,0,0,50,1
40,8,0,1,0,40,0
45,10,1,1,0,40,0
60,9,0,1,0,35,0
18,7,1,1,0,25,0
28,13,0,1,0,40,0
36,10,1,0,0,40,0
36,13,1,1,0,40,0
40,11,0,1,4386,40,0
36,13,1,0,0,35,0
31,9,1,0,0,40,0
33,9,0,1,0,40,0
19,9,1,0,0,40,0
22,10,1,0,0,15,0
34,13,0,1,0,45,1
33,9,1,1,0,40,0
41,9,0,1,0,60,0
29,13,1,1,4650,40,0
50,9,0,1,0,42,1
42,13,0,1,7298,45,1
43,13,1,1,0,40,1
44,9,0,0,0,40,0
20,10,1,0,0,20,0
31,9,0,1,0,40,0
65,7,0,1,9386,59,1
23,10,1,0,0,24,0
55,10,1,0,0,40,0
26,11,0,1,0,45,0
25,11,1,0,0,15,0
45,10,0,0,0,40,0
35,10,0,1,2407,40,0
36,10,1,0,0,36,0
43,13,0,1,0,50,0
56,9,1,0,594,20,0
42,13,0,1,0,40,1
19,10,1,0,0,25,0
55,9,0,1,0,72,0
42,14,1,0,14084,50,1
26,11,1,1,0,40,0
17,8,1,1,0,20,0
42,13,0,0,0,40,1
55,9,0,1,7688,40,1
32,10,1,0,0,40,0
29,7,1,1,0,40,0
46,13,0,1,0,37,0
29,13,0,1,7688,40,1
22,13,1,1,0,20,0
58,6,0,1,0,40,0
23,9,1,1,0,50,0
39,9,1,1,0,40,0
27,11,1,1,0,38,0
54,9,0,1,0,40,1
33,13,1,0,0,45,0
46,9,0,0,0,40,1
37,9,1,1,0,40,0
36,9,1,0,0,18,0
59,9,0,0,0,38,1
34,9,1,1,0,40,0
53,16,0,1,0,70,1
51,13,1,1,0,55,1
32,6,1,0,0,42,0
31,10,0,1,0,40,0
22,10,0,0,0,30,0
47,13,1,0,0,50,0
32,9,1,1,0,40,0
26,10,1,0,0,38,0
37,3,1,1,0,32,0
31,9,1,1,0,55,0
37,11,0,0,0,24,1
55,9,1,1,0,38,0
23,11,1,1,0,56,0
36,10,1,0,0,40,0
34,14,0,1,0,40,0
43,13,0,1,0,50,1
54,10,1,1,0,40,0
43,10,0,1,0,40,0
28,11,1,0,0,42,0
40,11,0,1,0,50,1
41,10,0,1,0,60,0
40,13,1,0,0,55,1
42,10,1,0,0,38,0
61,9,0,1,0,50,0
18,8,1,1,0,30,0
59,9,0,1,0,16,0
21,9,1,0,1055,40,0
48,11,0,1,0,50,1
41,13,0,1,0,40,0
18,10,1,1,0,33,0
23,9,1,0,2463,40,0
60,9,0,1,0,60,1
22,10,1,1,0,20,0
61,9,0,1,0,40,0
25,9,1,1,0,40,0
46,14,1,1,0,35,1
43,13,0,1,0,40,1
43,12,1,1,0,40,0
24,9,1,1,0,30,0
68,7,1,1,0,20,0
31,9,1,0,0,38,0
17,7,1,0,0,20,0
32,9,0,1,5178,48,1
50,14,0,1,0,40,0
33,13,0,1,3103,47,1
64,13,0,1,0,40,1
20,9,1,1,0,30,0
30,9,1,0,0,36,0
22,10,1,1,0,40,0
43,10,1,1,0,45,0
22,10,1,1,0,40,0
17,6,1,1,0,20,0
47,9,0,0,0,75,0
41,11,1,0,0,60,0
56,10,0,1,0,50,1
64,9,0,1,0,45,0
47,9,0,1,0,50,1
48,11,1,1,0,40,0
31,14,1,0,0,46,0
29,11,1,1,0,40,0
30,9,1,0,0,40,0
32,9,0,1,0,60,0
57,9,1,1,0,42,1
62,9,1,0,0,40,0
39,9,1,0,0,24,0
43,10,1,1,0,25,0
24,13,1,1,0,40,0
42,7,0,1,0,15,0
53,10,0,0,4386,40,1
26,10,1,1,0,40,0
73,9,0,1,0,40,0
72,7,1,0,0,24,0
55,9,0,1,0,40,0
25,9,1,1,0,40,0
41,13,1,0,0,50,1
24,13,1,1,0,50,0
63,9,1,1,0,6,0
17,7,1,1,0,20,0
35,10,0,1,0,50,0
51,10,0,1,0,40,1
62,13,1,0,0,48,0
55,9,0,1,4386,40,1
43,10,1,1,0,40,0
40,9,1,0,0,50,0
37,13,0,1,0,45,1
39,13,0,1,0,40,0
31,9,1,1,0,18,0
61,14,1,0,0,40,1
26,11,1,0,0,55,0
46,9,0,1,0,50,0
26,13,1,0,0,40,0
48,16,1,1,0,50,1
34,9,1,1,0,40,0
34,9,1,0,0,40,0
59,9,0,1,0,40,1
34,13,1,0,0,40,0
49,13,1,0,0,56,1
18,7,1,0,0,20,0
43,9,0,1,0,40,0
48,7,0,1,0,50,0
28,10,0,1,0,70,0
33,9,0,1,0,40,0
24,10,1,0,0,15,0
21,6,1,1,0,40,0
17,7,1,1,0,28,0
39,10,0,1,0,50,1
29,13,1,1,0,40,0
44,13,0,1,0,40,1
24,10,1,1,0,50,0
71,14,0,1,10605,40,1
51,13,0,1,0,40,1
55,3,1,1,0,25,0
41,13,0,1,0,60,1
23,9,1,0,0,7,0
38,11,1,0,0,40,0
39,9,0,1,0,40,1
19,9,1,0,0,30,0
49,5,1,0,0,40,0
32,13,0,1,0,40,1
27,9,0,1,0,70,0
38,13,0,1,0,50,1
33,10,0,0,0,60,0
63,10,0,1,0,15,0
23,13,1,1,0,28,0
33,10,0,1,0,60,0
54,9,0,1,0,40,0
29,11,1,0,2174,45,0
48,10,1,0,0,30,0
35,13,1,1,0,40,0
28,11,0,0,0,40,0
37,13,0,1,7688,50,1
42,15,0,1,0,65,1
40,14,0,1,0,40,0
47,10,1,1,0,55,0
22,13,1,0,0,50,0
30,13,0,1,0,45,1
28,9,0,1,0,40,0
63,4,0,1,0,55,0
51,5,0,1,0,20,0
22,9,1,0,0,40,0
27,12,0,1,0,40,0
35,9,1,1,0,45,0
46,9,1,0,0,38,0
37,10,1,1,0,52,0
24,13,1,1,0,15,0
37,9,1,1,0,10,0
53,10,0,1,0,40,0
27,9,1,1,0,30,0
38,10,1,1,0,44,0
53,6,0,1,0,60,0
34,10,1,1,0,40,0
23,9,1,1,0,40,0
39,13,0,1,15024,45,1
43,14,0,0,0,50,0
67,9,0,1,0,40,1
81,9,0,1,0,30,0
21,10,1,1,0,20,0
23,10,1,1,0,25,0
25,10,1,1,0,40,0
42,3,0,0,0,38,0
38,10,0,0,0,40,0
64,9,0,1,0,5,0
32,9,0,1,0,40,0
37,9,0,1,0,40,0
51,14,0,1,0,60,1
22,10,1,0,0,42,0
33,2,0,0,0,40,0
42,9,1,1,0,55,0
19,10,1,0,0,10,0
51,1,0,1,0,40,0
23,9,0,0,0,40,0
37,7,0,1,3103,44,1
37,9,0,1,0,99,1
47,14,1,0,0,25,0
41,15,0,1,0,40,1
33,9,0,1,0,30,0
31,13,1,1,0,40,1
31,12,1,0,0,40,0
35,9,0,1,0,40,0
38,9,0,1,0,40,1
18,9,1,0,0,45,0
20,9,0,1,0,40,0
54,10,1,0,0,35,0
40,10,1,0,0,40,0
36,13,0,0,0,45,1
43,10,1,1,0,35,0
44,10,1,1,0,40,0
44,9,0,0,0,40,1
43,14,0,1,0,43,1
51,4,1,0,0,40,0
18,9,1,0,0,20,0
51,10,0,1,0,40,0
41,6,0,1,0,30,0
44,10,0,1,0,70,1
33,6,1,1,0,40,0
33,13,0,1,0,40,1
42,12,0,1,0,40,1
25,10,0,1,0,45,0
32,9,1,0,0,38,0
32,13,0,1,0,70,0
36,6,1,0,0,40,0
28,9,0,1,0,40,0
20,9,1,0,0,20,0
35,10,0,1,0,60,1
55,9,0,1,0,20,0
48,13,0,1,0,40,1
36,11,1,0,0,20,0
34,9,0,1,0,35,1
28,13,1,0,0,35,0
67,13,1,1,0,40,1
37,9,0,1,0,40,0
44,9,1,1,0,70,0
25,10,1,0,0,40,0
21,10,1,0,4101,40,0
40,14,0,1,0,35,1
78,9,1,0,2964,40,0
34,9,1,1,0,40,0
49,9,1,0,0,44,0
22,12,1,0,0,40,0
23,9,1,0,0,40,0
60,9,1,1,0,42,0
45,9,1,1,0,40,1
63,11,1,0,0,20,0
41,9,1,0,0,35,0
47,9,1,0,0,40,0
44,9,1,1,0,40,0
51,10,1,0,3325,40,0
